amtrak	amphibious	tractor
bangel	buffy	angel
bash	bat	mash
beefaroni	beef	macaroni
belieber	believer	bieber
bit	binary	digit
blaxican	black	mexican
bollywood	bombay	hollywood
bootylicious	booty	delicious
botox	botulin	toxin
brainiac	brain	maniac
bromance	bro	romance
brunch	breakfast	lunch
buppie	black	yuppie
californication	california	fornication
cama	camel	llama
camcorder	camera	recorder
cheeseburger	cheese	hamburger
chillax	chill	relax
clash	clap	crash
clink	click	link
clois	clark	lois
cosplay	costume	play
crackberry	crack	blackberry
cranapple	cranberry	apple
crangrape	cranberry	grape
crooklyn	crook	brooklyn
